number,tweets,positive  match,negative  match,score,polarity
611,United  States  Canada  Mexico  Wild  Woody,,wild,-1,negative
612,The  government  has  closed  its  injectable  opioid  treatment  program  to  new  patients  Existing  patients  have  one  year,,,0,neutral
613,It  turns  out  that  the  person  distributing  the  disgusting  decal  is  a  volunteer  with  the  same  Red  Deer  that  sai,,disgusting,-1,negative
614,Canada  and  other  nations  rapidly  putting  up  5G  Wuhan  was  protesting  the  activation  of  their  5G  I  don  t  b,,protesting,-1,negative
615,Look  Canada  we  have  enough  problems  without  you  all  screwing  it  up,enough,problems,0,neutral
616,And  meanwhile  the  captain  of  the  ship  is  shown  counting  on  his  fingers  We  re  fucked  Canada  The  Great  Recession  n,great,recession,0,neutral
617,Phone  number,,,0,neutral
618,With  each  passing  day  I  m  becoming  more  and  more  thankful  that  my  parents  chose  to  emigrate  to  Canada  and  not  the  US  Watching  things  unfold  is  frustrating  to  me  but  I  can  t  imagine  how  the  progressive  voters  are  feeling  right  now,thankful|progressive|right,frustrating,2,positive
619,Very  proud  of  Hockey  Night  in  Canada  Punjabi  s  Amrit  Gill  amp  her  impact  in  hockey  as  a  female  journalist  Not  only  has  she  established  herself  as  a  renown  journalist  in  the  hockey  community  but  she  has  been  an,proud|renown,,2,positive
620,Chalk  Circle  -  April  fool  1986,,fool,-1,negative
621,WIND  WARNING  from  Environment  Canada,,warning,-1,negative
622,Yeah  off  topic  I  agree  Canada  is  in  better  place  from  a  public  debt  standpoint  not  so  from  a  consumer,better,debt,0,neutral
623,US  F-22  stealth  jets  and  Canadian  CF-18  fighters  intercepted  two  Russian  reconnaissance  aircraft  while  they  were  flying  off  the  Al,,,0,neutral
624,Dear  Ch,,,0,neutral
625,Multiple  tags  thanks  to  Eduardo  amp  Shawna  5  facts  5  tags1  prefer  salt  to  sugar2  only  vacationed  in  Vegas  outside  of  Canada3  oldest  of  3  siblings4  Love  board  card  games5  I  think  is  swell,prefer|love,,2,positive
626,Fact-correcting  CBC  Reporter  Elise  von  Scheel  wrongly  stated  that  oil  and  gas  constitute  11  of  Canada  s  GDP  The  11,,wrongly,-1,negative
627,Seniors  don  t  want  a  revolution  Every  time  Bernie  says  he  wants  a  revolution  he  wants  to  change  America  he  wants  to  shake  it  up  and  cause  some  chaos  seniors  step  back  a  little  bit  and  say  maybe  I  should  leave  the  room  Then  fuck  off  and  die,,shake|chaos|fuck|die,-4,negative
628,Every  modernized  country  in  the  world  has  govt  healthcare  and  private  insurance  Yes  Including  Canada,,,0,neutral
629,Hello  beauties  Who  s  going  to  be  my  sugar  baby  I  need  someone  to  keep  me  company  no  sex  chat  and  I  promise  to  handle  your  bills  get  your  nails  and  hair  done  and  also  spoil  you  with  my  weekly  allowance  offer  of  500  Retweet  to  notify  me  if  you  re  interested  US  And  Canada,promise,spoil,0,neutral
630,I  wish  I  was  snowboarding  with  in  Canada,,,0,neutral
631,New  music  coming  soon  A  Communal  Scream  -  April  20th  2020,,scream,-1,negative
632,Canada  s  massive  debt  in  conjunction  with  its  lack  of  production  and  circular  money  based  on  64  percent  of  all  employment  being  directly  and  indirectly  govt  hires  shows  and  proves  my  statement  correct  Dollar  will  drop  twice  more  this  year  Ok  Boomer,proves|correct,debt|lack,0,neutral
633,Canada  has  this  same  problem  NDP  candidates  can  t  get  enough  traction,enough|traction,problem,1,positive
634,Canada  is  not  broken  Canada  is  rich  in  infrastructure  natural  resources  and  human  resources  Canada  is  as  vast  as  it,rich,broken,0,neutral
635,I  know  they  don  t  but  seriously  look  up  how  Medicare  was  implemented  in  Canada  it  took  over  20  years  to  be  what  we  are  calling  Medicare  for  all,,,0,neutral
636,A  great  mystery  of  conservatism  is  why  Alberta  is  not  flooded  with  jobs  other  than  in  oil  Other  than  a  brief  blip  dur,great,mystery,0,neutral
637,Something  is  rotten  in  the  state  of  Canada  It  smells  like  perfume  mixed  with  musk  with  the  faint  scent  of  caviar  and  30,like,rotten|smells|faint,-2,negative
638,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
639,COVID-19  Air  Canada  suspends  flights  to  Italy,,,0,neutral
640,Have  you  watched  this  will  become  very  serious  very  quickly  especially  in  the  cities  Listen  to  this  doctor  from,,,0,neutral
641,Galaxy  is  a  chocolate  candy  bar  I  believe  sold  in  Britain  Canada  Made  by  the  Mars  candy  company  They  have  a  salted  caramel  chocolate  version  The  original  poster  thinks  there  should  be  a  commercial  that  makes  these  some  kind  of  priority  It  s  a  bit  confusing  honestly,,confusing,-1,negative
642,All  we  have  to  know  all  we  have  to  do  is  stand  by  our  Prime  Minister  Don  t  let  all  the  Conservative  noise  and  lies  bl,,conservative|noise|lies,-3,negative
643,Teens  who  engage  in  sexting  get  charged  Yet  an  auxiliary  member  of  got  a  free  pass  for  promoting  the  rap,free,,1,positive
644,Bob  Rae  named  Canada  s  special  envoy  on  humanitarian  refugee  issues,,issues,-1,negative
645,Glad  to  see  struggling  scholar  Margaret  Atwood  is  finally  being  recognized  by  Air  Canada,glad,struggling,0,neutral
646,As  Coachella  and  Hatsune  Miku  s  appearance  at  the  festival  has  been  postponed  the  MIKU  EXPO  2020  USA  amp  Canada  tour  dates,,,0,neutral
647,Can  I  just  say  Canada  has  its  problems  but  I  am  very  glad  to  live  in  a  country  with  a  responsible  functioning  government,glad,problems,0,neutral
648,Congratulations  Democrats  you  just  fucked  this  up  yet  again  I  ll  see  you  soon,congratulations,,1,positive
649,You  know  where  they  don  t  have  a  survival  of  the  fittest  policy  on  Denmark  and  Canada,survival,,1,positive
650,Alberta  now  has  14  confirmed  coronavirus  cases  all  travel-related  official  -  Global  News  has  been  published  on  Canada  News  Media  -,,,0,neutral
651,The  Canada  they  won  t  show  you,won,,1,positive
652,And  another  thing  A  big  reason  it  is  so  cheap  to  extract  there  is  because  they  have  zero  environmental  regulations  while  Canada  is  an  industry  leader,,cheap,-1,negative
653,Yes  Canada  Socialized  medicine  has  strong  motivation  to  keep  prices  and  expenses  down  Not  so  in  the  US  where  profit  is  the  impetus,strong,,1,positive
654,Travel  advisories  due  to  outbreak  of  include  ChinaFranceGermanyHong  KongIranItalyJapanSingaporeSouth  KoreaS,,outbreak,-1,negative
655,A  climate  refugee  is  a  hypothetical  term  created  by  activists  to  describe  someone  who  may  have  to  leave  their  home  d,,,0,neutral
656,Canada  currently  has  79  cases  of  COVID19  Air  Canada  will  stop  flights  from  Italy  What  is  Trudeau  GVT  doing  to  p,,,0,neutral
657,All  my  love  and  prayers  for  you  tonight  Hope  you  re  feeling  better  soon  You  re  one  of  my  favourite  people  I  follow  on  Twitter  You  re  awesome  and  thank  you  for  all  you  do  for  health  care  Marie  from  Canada,love|better|awesome|thank,,4,positive
658,Let  s  see  what  Justin  Trudeau  is  configuring  for  the  economic  and  physical  health  of  Canada  versus  whatever  limp-dicked  vote  bait  and  his  propose,,bait,-1,negative
659,Today  is  the  anniversary  of  the  Tohoku  tsunami  I  ll  never  forget  how  terrifying  it  was  watching  it  on  the  news  from  Cana,,,0,neutral
660,GO  CANADA  GO  Federal  government  to  announce  supports  for  people  businesses  hit  by  COVID-19  on  Wednesday,supports,,1,positive
661,The  day  is  coming,,,0,neutral
662,Let  me  feel  proud  when  it  s  over,proud,,1,positive
663,Who  s  winning,winning,,1,positive
664,Hello,,,0,neutral
665,took  these  when  i  went  to  canada  lt  3,,,0,neutral
666,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
667,Wipro  was  proud  to  host  Mayor  amp  the  delegation  at  our  state-of-the-art  innovation  center  in  Bangalore,proud|state-of-the-art|innovation,,3,positive
668,It  s  already  happening  in  Canada  This  was  last  year  when  self-ID  d  transwomen  Tyler  was  in  a  WOMAN  S  shelte,,,0,neutral
669,As  of  6  05PM  Canada  Line  is  experiencing  temporarily  system  hold  and  delays  due  to  another  stalled  train  at  Sea  I,,delays,-1,negative
670,I  wish  every  primary  that  happened  since  last  Tuesday  didn  t  make  me  feel  more  like  moving  out  of  country  and  less  like  fig,like,,2,positive
671,Doug  Ford  asks  Ottawa  for  help  with  Toronto  transit  projects  but  not  Hamilton  L  I  were  the  federal  govt  I  wouldn  t  give  Ford  a  dime  for  the  subways  unless  he  brings  back  some  greener  energy,,,0,neutral
672,Teens  who  engage  in  sexting  get  charged  Yet  an  auxiliary  member  of  got  a  free  pass  for  promoting  the  rap,free,,1,positive
673,Makes  sense  require  lab  testing  only  way  to  ensure  it  s  gone  and  I  guess  that  s  the  only  way  know  for  sure  no  longer  shedding  live  viruses  tho  I  wouldn  t  trust  the  CDC  test  am  glad  Canada  took  the  sensible  route  with  testing,trust|glad|sensible,,3,positive
674,The  slash  amp  burn  idiocy  of  kenney  kijiji  amp  drug  ford  have  failed  miserably  Both  are  crying  that  the  feds  wont  give  them  m,,burn|idiocy|failed|miserably,-4,negative
675,We  love  you  Mrs  Trump  in  Canada  Our  Justine  hide  his  wife  We  thing  that  Trudeau  will  di  his  coming  out  very  soon  he  his  realy  an  homosexual  that  Guy  just  look  the  way  he  sits,love|trump,,2,positive
676,Well  done  To  easy  on  the  libtards  though  We  are  on  life  support  close  to  the  status  of  Cuban  plea,well|easy|support,plea,2,positive
677,Far  from  reducing  any  demand  side  consumption  voluntarily  shutting  in  production  has  simply  ceded  market  share  t,,,0,neutral
678,IT  S  HERE  Chapter  1  of  my  series  w  w  photos  by  LONG  READ  but  this  is  designed  for  world  au,,,0,neutral
679,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
680,For  people  who  want  our  country  to  go  green  you  haven  t  put  much  thought  into  all  this  protesting  have  you  Where  do  you  thi,,protesting,-1,negative
681,It  turns  out  that  the  person  distributing  the  disgusting  decal  is  a  volunteer  with  the  same  Red  Deer  that  sai,,disgusting,-1,negative
682,The  Government  of  Canada  has  the  fiscal  capacity  to  handle  the  present  macro  challenges  Any  notion  that  the  fiscal  c,,,0,neutral
683,US  and  Canadian  jets  intercept  Russian  reconnaissance  aircraft  off  Alaska  -  CNNPolitics,,,0,neutral
684,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Ne,,,0,neutral
685,It  turns  out  that  the  person  distributing  the  disgusting  decal  is  a  volunteer  with  the  same  Red  Deer  that  sai,,disgusting,-1,negative
686,Thanks  to  Liberals  Canada  is  becoming  The  most  insane  country  in  the  world,,insane,-1,negative
687,Welp  like  you  and  the  rest  of  the  states  that  decided  to  pull  for  biden  that  laughed  at  the  ideals  of  actual  change  this  is  why  I  will  never  have  my  partner  in  canada  move  to  this  godforsaken  country  If  we  lose  in  Nov  it  s  on  you  all  not  the  bernie  bust  all  of  you,like,lose|bust,-1,negative
688,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
689,It  turns  out  that  the  person  distributing  the  disgusting  decal  is  a  volunteer  with  the  same  Red  Deer  that  sai,,disgusting,-1,negative
690,Well  some  things  never  change,well,,1,positive
691,I  ve  never  actually  seen  the  stream  but  man  i  loved  everything  about  this  trailer  good  luck  from  Canada  Hope  it  goes  well,loved|good|luck|well,,4,positive
692,Unless  every  single  person  in  Canada  gets  a  2  COLA  then  it  is  a  raise  like  how  every1  considered  Ford  himself  cabinet  a  raise  If  teachers  considered  that  a  raise  then  teachers  demanding  a  COLA  is  also  a  raise,like,,1,positive
693,Clinton  Foundation  investigated  by  Justice  Department  -  BBC  News,,,0,neutral
694,Good  for  Canada,good,,1,positive
695,Here  s  what  happened  when  NDP  MP  asked  Indigenous  Services  minister  a  question  about  the  rule  of  law,,,0,neutral
696,Dub  Up  the  Canada  imo,,,0,neutral
697,So  proud  to  have  one  in  Canada  hoping  yours  gets  better  soon,proud|better,,2,positive
698,Jason  Kenney  amp  the  UCP  eliminated  every  single  tax  credit  for  tech  amp  innovation  incl  SR  amp  ED  a  credit  available  in  nearly  eve,innovation|available,,2,positive
699,TAKE  ACTION  Ask  General  Motors  Canada  to  stop  supporting  the  chuckwagon  race  at  the  Calgary  Stampede  Six  horses  died  in  the  race  last  year  More  than  70  have  died  since  1986,supporting,stampede|died,-2,negative
700,In  the  US  the  IRS  has  about  75k  employees  for  327  millions  people  In  Canada  the  bloodsucker  we  have  65k  employees  at  the,,,0,neutral
701,OU  s  Board  of  Regents  named  new  leadership  and  responded  to  recent  racist  events  at  the  university  after  spending  nearly  tw,,racist,-1,negative
702,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
703,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
704,The  narrative  that  young  people  are  not  showing  up  is  false  and  Bernie  people  need  to  push  hard  against  it  I  work  at  a  Uni,work,false|hard,-1,negative
705,Snow  day  calculator  but  for  chances  of  your  university  closing  due  to  coronavirus,,,0,neutral
706,If  corona  is  gonna  send  me  home  from  university  my  semester  grades  better  be  ending  the  same  way  corona  ends  with  an  A,better,,1,positive
707,im  in  the  library  rn  and  the  university  just  sent  out  an  email  that  all  midterms  this  week  are  being  suspended  and  almost  i,,,0,neutral
708,I  can  t  wait  to  visit  the  Bulls  on  March  28th  after  being  offered  to  play  for  Coach  Scott  s  offense  and  for  The  Universit,,,0,neutral
709,And  the  University  of  Tulsa  moves  to  remote  learning  effective  immediately,effective,,1,positive
710,A  Michigan  State  University  student  after  waiting  over  an  hour  in  line  to  vote  called  it  quits  and  walked  out  He  said  thi,,,0,neutral
711,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
712,Sad  to  hear  that  once  again  Oxford  University  has  refused  to  host  my  mum  s  two-hour  talk  The  Film  Stuart  Little  Is,,sad|refused,-2,negative
713,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
714,im  in  the  library  rn  and  the  university  just  sent  out  an  email  that  all  midterms  this  week  are  being  suspended  and  almost  i,,,0,neutral
715,A  Michigan  State  University  student  after  waiting  over  an  hour  in  line  to  vote  called  it  quits  and  walked  out  He  said  thi,,,0,neutral
716,Johns  Hopkins  University  is  transitioning  to  remote  instruction  for  all  classroom-based  academic  programs  and  canceling  t,,,0,neutral
717,University  of  Mississippi  Cancel  classes  at  The  University  of  Mississippi  for  the  rest  of  the  semester  -  Sign  the  Petition  via,,,0,neutral
718,At  this  time  Boston  College  remains  open  Decisions  made  by  the  administration  will  be  disseminated  by  the  University  a,,,0,neutral
719,This  is  the  most  egregious  level  of  incompetence  in  an  administration  that  I  think  we  ve  witnessed  at  least  in  my  me,,egregious|incompetence,-2,negative
720,Well  My  university  won  t  open  back  up  until  April  6  time  to  binge  watch  anime,well|won,,2,positive
721,Don  t  forget  to  mention  I  graduated  from  Rutgers  University  on  scholarship  when  you  mention  my  fucking  name  bitch,,fucking|bitch,-2,negative
722,American  University  becomes  first  DC  area  school  to  announce  long  term  coronavirus  closure  Classes  will  be  condu,,,0,neutral
723,Cleveland  State  University  Online  Classes  During  Corona  Virus  Outbreak  -  Sign  the  Petition  via,,virus|outbreak,-2,negative
724,An  official  at  a  university  that  has  not  yet  announced  that  students  will  not  return  after  spring  break  tells  me  most  univers,,break,-1,negative
725,A  decision  of  this  magnitude  is  unprecedented  in  Duke  s  history  and  we  need  every  student  s  assistance  two  administr,,,0,neutral
726,I  know  I  m  not  exactly  the  first  to  notice  this  but  picket  lines  at  and  elsewhere  show  what  the  university,,picket,-1,negative
727,Idk  I  ve  seen  a  lot  of  reports  of  hundreds  if  not  thousands  of  younger  people  being,,,0,neutral
728,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
729,A  Michigan  State  University  student  after  waiting  over  an  hour  in  line  to  vote  called  it  quits  and  walked  out  He  said  thi,,,0,neutral
730,A  Michigan  State  University  student  after  waiting  over  an  hour  in  line  to  vote  called  it  quits  and  walked  out  He  said  thi,,,0,neutral
731,Attention  The  University  of  Texas  at  San  Antonio  will  cancel  all  classes  for  the  rest  of  Spring  2020  Semester  due  to  6  St,,,0,neutral
732,And  so  it  begins  My  son  s  university  OH-CuyahogaCounty  is  closed  until  at  least  mid  April  with  plans  for  remot,,,0,neutral
733,Agree  My  long-time  view  on  some  of  the  barrier  to  university  innovation  Maybe  research  prowess  shouldn  t  be  the  gatekeeper  to  college  administration  at  major  universities,innovation|prowess,long-time,1,positive
734,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
735,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
736,at  this  point  just  call  CUNY  Corona  University  of  New  York,,,0,neutral
737,I  m  blessed  to  receive  an  offer  from  the  University  of  Tennessee  at  Martin,,,0,neutral
738,Blessed  To  Receive  a  offer  from  the  University  of  Alabama,,,0,neutral
739,Smile  with  your  lips  Smile  with  your  heart  Smile  with  your  mind  Researchers  at  the  University  of  Kansas  found  that  s,smile,,3,positive
740,Hi  Akmal  I  ve  been  searching  about  this  university  Unfortunately  the  university  seems  not  exist  May  I  know  is  there  any  source  link  I  can  refer  to  Thank  you  so  much,thank,unfortunately,0,neutral
741,This  is  what  vote  suppression  looks  like  Ann  Arbor  Michigan  clerk  office  outside  University  of  Michigan  campus  at  6pm,like,suppression,0,neutral
742,privileged  of  the  university  to  think  everyone  has  access  to  internet  at  home  as  well,privileged|well,,2,positive
743,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
744,I  don  t  mind  teaching  online  only  but  the  security  hoops  are  a  bit  loopy,,,0,neutral
745,Online  course  delivery  is  a  phrase  university  administrators  need  to  stop  using  Digital  labor  is  labor  Lectures  ar,,,0,neutral
746,My  university  has  set  up  Zoom  for  us  but  what  if  I  just  create  a  Twitch  account  and  my  students  can  watch  me  play  DOOM  2,,doom,-1,negative
747,An  official  at  a  university  that  has  not  yet  announced  that  students  will  not  return  after  spring  break  tells  me  most  univers,,break,-1,negative
748,KS  County  Clerks  amp  Election  Officials  Association  2020  Scholarship  deadline  is  fast  approaching  Monday  March  30  20,fast,,1,positive
749,Elon  Musk  the  Tesla  and  SpaceX  entrepreneur  disses  university  education  It  s  not  needed  because  college  is  not  f,,disses,-1,negative
750,33  of  homicides  in  Durham  year  The  crime  rate  was  1  4  times  higher  than  the  US  average  amp  it  was  higher  than  91  of,,crime,-1,negative
751,Schools  in  the  University  of  California  system  are  canceling  in-person  classes  and  transitioning  to  online  classes  due  to  coronavi,,,0,neutral
752,Johns  Hopkins  University  is  transitioning  to  remote  instruction  for  all  classroom-based  academic  programs  and  canceling  the  next  several  days  of  classes  beginning  March  11  Remote  undergrad  instruction  will  begin  March  23  Read  President  Daniels  message,,,0,neutral
753,Johns  Hopkins  University  is  transitioning  to  remote  instruction  for  all  classroom-based  academic  programs  and  canceling  t,,,0,neutral
754,Congratulations  Chen  Gefei  a  student  of  Grade  2017  of  Jiangsu  Provincial  Liangfeng  Senior  Middle  School  International  Department  and  currently  studies  in  Grade  12  at  Craig  High  School  in  US  is  admitted  to  RMIT  University,congratulations,,1,positive
755,Outrageous  This  is  what  Students  for  Trump  is  up  against  every  day  Democrats  in  Georgia  want  to  talk  about  voter  suppr,trump,outrageous,0,neutral
756,Bar  our  Bernie  student  organizer  at  Michigan  State  University  literally  ran  to  the  poll  with  the  final  3  voters  with  less  t,,,0,neutral
757,Covid19  viral  test  is  PCR  based  Washington  University  Quest  ARUP  Lab  Corp  developed  these  molecular  tests  But  physician  need  to  ordered  them  and  the  tests  need  to  be  confirmed  by  CDC  I  was  told,,,0,neutral
758,Elon  Musk  the  Tesla  and  SpaceX  entrepreneur  disses  university  education  It  s  not  needed  because  college  is  not  f,,disses,-1,negative
759,An  official  at  a  university  that  has  not  yet  announced  that  students  will  not  return  after  spring  break  tells  me  most  univers,,break,-1,negative
760,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
761,The  best  textbook  is  experience  says  John  Cary  a  63-year-old  American  who  in  addition  to  teaching  English  to  students  at  N,best,,1,positive
762,My  university  has  set  up  Zoom  for  us  but  what  if  I  just  create  a  Twitch  account  and  my  students  can  watch  me  play  DOOM  2,,doom,-1,negative
763,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
764,A  Michigan  State  University  student  after  waiting  over  an  hour  in  line  to  vote  called  it  quits  and  walked  out  He  said  thi,,,0,neutral
765,A  Michigan  State  University  student  after  waiting  over  an  hour  in  line  to  vote  called  it  quits  and  walked  out  He  said  thi,,,0,neutral
766,An  update  from  East  Lansing  where  Michigan  State  University  students  still  are  in  line  to  register  and  cast  their  vote,,,0,neutral
767,The  narrative  that  young  people  are  not  showing  up  is  false  and  Bernie  people  need  to  push  hard  against  it  I  work  at  a  Uni,work,false|hard,-1,negative
768,Australia  Further  IFLYTEK  s  engagements  in  Australia  in  2019  included  Victoria  Investment  Authority  ANZ  Bank  Univ,,,0,neutral
769,As  universities  across  the  US  are  sending  students  home  and  moving  to  online  instruction  I  sincerely  hope  that  university,sincerely,,1,positive
770,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
771,Wooseok  has  it  all  A  supportive  mother  boyfriend  and  brother  A  scholarship  to  X1  University  a  4  0  GPA  and  a  dream  to  a,supportive,,1,positive
772,This  is  Michael  Osterholm  he  is  the  director  of  the  Center  for  Infectious  Disease  Research  and  Policy  at  the  University  of  M,,,0,neutral
773,A  Michigan  State  University  student  after  waiting  over  an  hour  in  line  to  vote  called  it  quits  and  walked  out  He  said  thi,,,0,neutral
774,In  1665  the  University  of  Cambridge  temporarily  closed  due  to  the  bubonic  plague  Isaac  Newton  had  to  work  from  home  and  he,work,plague,0,neutral
775,THY  A  THO  WHOLE  UNIVERSAL  UNIVERSITY  WORLD  S  OFF  THY  ARK  HEA  A  OF  THO  A  HE-A  A  SOLAH  SEAS  oprah  HE  IN  HEA  BOW  DOWN  oprah  cars  scars  manipulating  foolishness  in  THY  FAMILY  N  I  NOT  INTRESTED,,scars|foolishness,-2,negative
776,as  very  few  of  us  are  prepared  to  teach  online  and  b  will  potentially  spread  COVID-19  to  our  parents  grandparents  and,,,0,neutral
777,My  university  has  set  up  Zoom  for  us  but  what  if  I  just  create  a  Twitch  account  and  my  students  can  watch  me  play  DOOM  2,,doom,-1,negative
778,Elon  Musk  the  Tesla  and  SpaceX  entrepreneur  disses  university  education  It  s  not  needed  because  college  is  not  f,,disses,-1,negative
779,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
780,Commercial  Insurance  Account  Manager  in  University  Place  WA  generalist,,,0,neutral
781,lmfao  someone  said  we  really  paying  ucsd  money  for  a  university  of  phoenix  education,,,0,neutral
782,EXTREMELY  BLESSED  to  have  earned  an  offer  from  The  University  of  Pittsburgh,,,0,neutral
783,Good  for  whoever  blasted  them  I  was  just  speaking  from  a  BLACK  university  student  at  a  pwi  with  ALL  BLACK  FRIENDS  and  associates  none  of  which  showed  interest  in  being  in  a  white  Greek  org  but  thanks  for  trying  to  educate  me  too  bad  idc,good,blasted|bad,-1,negative
784,I  m  Blessed  to  receive  a  full  scholarship  offer  from  the  University  of  Tennessee  Martin,,,0,neutral
785,A  Michigan  State  University  student  after  waiting  over  an  hour  in  line  to  vote  called  it  quits  and  walked  out  He  said  thi,,,0,neutral
786,With  only  one  university  in  Tasmania  they  have  to  We  re  particularly  worried  about  any  possible  job  losses  in  nort,,worried|losses,-2,negative
787,The  University  is  closed  for  the  next  five  days  to  allow  all  buildings  to  be  deep  cleaned  and  disinfected  according  to  state  and,,,0,neutral
788,A  Michigan  State  University  student  after  waiting  over  an  hour  in  line  to  vote  called  it  quits  and  walked  out  He  said  thi,,,0,neutral
789,Thrilled  to  be  appointed  the  new  Associate  Dean  for  Equity  Diversity  and  Inclusion  in  There  s  plenty  to  do  But  it  s  exciting  to  be  part  of  a  Faculty  and  University  that  s  investing  to  create  an  inclusive  and  equitable  environment  for  all,thrilled|exciting|equitable,,3,positive
790,I  have  always  wanted  to  do  a  network  analysis  of  every  position  in  a  university  to  see  how  many  clusters  never  directly  feed  down  to  contact  with  students,,,0,neutral
791,Just  received  a  letter  from  the  president  of  my  university  calling  upon  all  faculty  who  possess  expertise  relevant  to  the  CV  crisis  to  join  a  Taskforce  and  try  to  contribute  Can  we  run  a  thread  to  collect  ideas  In  social  psych  what  will  help  compliance  In  economics,,crisis,-1,negative
792,Blessed  to  receive  a  offer  from  Eastern  Michigan  University,,,0,neutral
793,Classes  are  suspended  Monday  and  Tuesday  at  Columbia  University  because  a  member  of  the  community  has  been  quarantined  due  to  e,,,0,neutral
794,I  will  never  stop  being  angry  about  the  voter  suppression  at  Michigan  State  University  So  many  students  couldn  t  wait  in,,angry|suppression,-2,negative
795,I  m  so  excited  to  announce  that  I  will  be  continuing  my  basketball  and  academic  career  at  George  Fox  University  Thank  y,excited|thank,,2,positive
796,Southern  Cross  University  s  Lismore  amp  Gold  Coast  Campuses  closed  due  to  an  infected  visiting  teacher  from  the  Phillipines  This  is  up  near  my  area,gold,infected,0,neutral
797,My  university  has  set  up  Zoom  for  us  but  what  if  I  just  create  a  Twitch  account  and  my  students  can  watch  me  play  DOOM  2,,doom,-1,negative
798,The  University  is  closed  for  the  next  five  days  to  allow  all  buildings  to  be  deep  cleaned  and  disinfected  according  to  state  and,,,0,neutral
799,in  accordance  with  yale  s  decision  to  ban  gatherings  of  100  people  one  of  my  three  on-campus  jobs  canceled  all  work  shif,work,,1,positive
800,St  Joe  s  is  planning  a  test  run  of  virtual  classes  on  March  19  and  20  to  prepare  for  potential  long-term  disruptions  beca,,,0,neutral
801,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
802,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
803,University  of  Phoenix  watching  all  the  colleges  make  their  classes  online,,,0,neutral
804,Humble  the  Poet  sharing  his  earliest  memories  about  having  mental  health  challenges  as  a  child  youth  and  university  student,humble,,1,positive
805,I  can  t  ever  let  the  world  forget  the  day  my  university  tried  to  make  Rice  amp  Peas,,,0,neutral
806,Schools  in  the  University  of  California  system  are  canceling  in-person  classes  and  transitioning  to  online  classes  due  to  coronavi,,,0,neutral
807,every  other  university  is  suspending  or  cancelling  class  bc  of  the  coronavirus  meanwhile  elon  is  unbothered  amp  the  frats  are  preparing  for  what  kind  of  bucket  they  ll  make  this  lovely  tuesday  evening,lovely,,1,positive
808,Blessed  to  receive  a  offer  from  The  University  of  Tennessee  at  Martin,,,0,neutral
809,These  are  concerning  reports  Labor  believes  that  the  State  and  Federal  Liberal  Governments,,,0,neutral
810,everyone  loves  baekhyun  because  of  his  beauty  and  kindness  maraming  sumubok  manligaw  but  what  they  get  is  just  polite  reje,loves|beauty|kindness|polite,,4,positive
811,im  in  the  library  rn  and  the  university  just  sent  out  an  email  that  all  midterms  this  week  are  being  suspended  and  almost  i,,,0,neutral
812,The  University  is  closed  for  the  next  five  days  to  allow  all  buildings  to  be  deep  cleaned  and  disinfected  according  to  state  and,,,0,neutral
813,In  a  bid  to  encourage  the  engineering  students  across  Tamil  Nadu  for  their  innovative  projects  has  launched  a  proposal  to  support  them  by  making  them  file  Intellectual  Property  Rights  IPR,encourage|innovative|support,,3,positive
814,A  Michigan  State  University  student  after  waiting  over  an  hour  in  line  to  vote  called  it  quits  and  walked  out  He  said  thi,,,0,neutral
815,The  more  young  and  healthy  people  are  sick  at  the  same  time  the  more  old  people  will  be  sick  and  the  more  pressure  there  will  be  on  the  health  care  system  said  Landon  at  the  University  of  Chicago  Keep  social  distancing  until  the  Covid-19  virus  crisis  is  over  in  the  US,healthy,sick|virus|crisis,-3,negative
